selection,run,generation,best_fitness,mean_fitness,dna_file
TOURNAMENT,1,133,161635.1423952543,45112.9110253913,
TOURNAMENT,1,134,161635.1423952543,43111.8534759994,
TOURNAMENT,1,135,161635.1423952543,44946.3143213531,tournament/run_01/best_snakes/generation_135.dna
TOURNAMENT,1,136,161635.1423952543,44387.1864240282,
TOURNAMENT,1,137,161635.1423952543,40129.8100019366,
TOURNAMENT,1,138,161635.1423952543,45528.6438391107,
TOURNAMENT,1,139,161635.1423952543,48171.4194213439,
TOURNAMENT,1,140,161635.1423952543,47126.8981157396,tournament/run_01/best_snakes/generation_140.dna
TOURNAMENT,1,141,161635.1423952543,47842.5980756644,
TOURNAMENT,1,142,161635.1423952543,46527.0842615672,
TOURNAMENT,1,143,161635.1423952543,52998.0889775806,
TOURNAMENT,1,144,161635.1423952543,50395.4051361398,
TOURNAMENT,1,145,161635.1423952543,49185.6975893214,tournament/run_01/best_snakes/generation_145.dna
TOURNAMENT,1,146,161635.1423952543,48657.4247024946,
TOURNAMENT,1,147,161635.1423952543,45280.2911669361,
TOURNAMENT,1,148,161635.1423952543,44463.4671676705,
TOURNAMENT,1,149,161635.1423952543,43435.4263029015,
TOURNAMENT,1,150,161635.1423952543,46171.3730430277,tournament/run_01/best_snakes/generation_150.dna
TOURNAMENT,1,151,167120.0771051484,52834.1885521925,
TOURNAMENT,1,152,167120.0771051484,44033.3860684469,
TOURNAMENT,1,153,167120.0771051484,42140.0778398829,
TOURNAMENT,1,154,167120.0771051484,42967.0790271913,
TOURNAMENT,1,155,167120.0771051484,38998.4562851440,tournament/run_01/best_snakes/generation_155.dna
TOURNAMENT,1,156,167120.0771051484,47966.0760799351,
TOURNAMENT,1,157,167120.0771051484,47289.3383166168,
TOURNAMENT,1,158,167120.0771051484,46959.0401316328,
TOURNAMENT,1,159,167120.0771051484,44937.2722535063,
TOURNAMENT,1,160,167120.0771051484,46442.4402705317,tournament/run_01/best_snakes/generation_160.dna
TOURNAMENT,1,161,167120.0771051484,43056.7228226834,
TOURNAMENT,1,162,167120.0771051484,48298.2277949177,
TOURNAMENT,1,163,167120.0771051484,54201.1845261092,
TOURNAMENT,1,164,167120.0771051484,49105.6383803884,
TOURNAMENT,1,165,167120.0771051484,49226.3088731804,tournament/run_01/best_snakes/generation_165.dna
TOURNAMENT,1,166,167120.0771051484,47428.4502264481,
TOURNAMENT,1,167,167120.0771051484,49896.6706439381,
